n,m,q,repeats,m_prime,metric_ms,metric_ms_iqr,matching_ms,matching_ms_iqr,hierholzer_ms,hierholzer_ms_iqr,fleury_ms,fleury_ms_iqr,total_ms,total_ms_iqr
50,102,4,15,104.0,0.256011,0.007045499999999982,0.095522,0.007561499999999999,0.074511,0.0019979999999999998,0.973729,0.059083499999999844,0.575046,0.029543499999999945
100,204,8,15,208.06666666666666,1.005316,0.048216499999999884,0.283201,0.053544499999999995,0.143804,0.0023535000000000084,3.51386,0.15244250000000026,1.721301,0.11408450000000014
200,408,16,15,416.2,4.071019,0.05173700000000103,1.42423,0.14103,0.283692,0.0035055000000000502,13.565671,0.521946999999999,6.680002,0.20257600000000053
400,812,24,15,824.1333333333333,13.921811,0.11121550000000191,4.265679,0.3649469999999999,0.595717,0.021166000000000018,55.272428,1.2452384999999992,21.438469,0.5017614999999971
